,name,location,rating,num_rating,price
71,Dolce (Late Harvest) 2013,"Napa Valley, United States",4.6,286 ratings,79.99
72,Tokaji Aszú 6 Puttonyos 2005,"Tokaj, Hungary",4.6,237 ratings,Available online from $125.55
73,Vigna Seré Veneto Passito Rosso 2004,"Veneto, Italy",4.6,215 ratings,Available online from $199.99
74,Barsac (Premier Grand Cru Classé) 2015,"Barsac, France",4.6,194 ratings,Available online from $86.95
75,Barsac (Premier Grand Cru Classé) 2001,"Barsac, France",4.6,183 ratings,Available online from $195
76,Sauternes (Lur Saluces) 1998,"Sauternes, France",4.6,165 ratings,Available online from $78.19
77,Sauternes (Lur Saluces) 1990,"Sauternes, France",4.6,165 ratings,Available online from $129
78,Esszencia 1993,"Tokaj, Hungary",4.6,139 ratings,499.97
79,Vin de Constance (Natural Sweet) 2018,"Constantia, South Africa",4.6,137 ratings,Available online from $66.86
80,Barsac (Premier Grand Cru Classé) 1989,"Barsac, France",4.6,134 ratings,Available online from $196.89
81,Barsac (Premier Grand Cru Classé) 1990,"Barsac, France",4.6,131 ratings,Available online from $179.99
82,Scacco Matto Albana di Romagna Passito 2012,"Albana di Romagna, Italy",4.6,120 ratings,Available online from $63.45
83,Les Jardins de Babylone Moelleux 2007,"Jurançon, France",4.6,114 ratings,Available online from $146.03
84,Vin Santo di Montepulciano 2002,"Vin Santo di Montepulciano, Italy",4.6,98 ratings,Available online from $202.50
85,Ornus 2010,"Toscana, Italy",4.6,85 ratings,Available online from $295
86,Recioto della Valpolicella Classico Superiore 1964,"Recioto della Valpolicella, Italy",4.6,85 ratings,Available online from $267.36
87,Betsek 6 Puttonyos Aszú 2008,"Tokaj, Hungary",4.6,83 ratings,Available online from $149.99
88,Rivesaltes 1933,"Rivesaltes, France",4.6,79 ratings,Available online from $399.99
89,Barsac (Premier Grand Cru Classé) 1983,"Barsac, France",4.6,71 ratings,Available online from $139
90,Tokaji Aszú 6 Puttonyos 2013,"Tokaj, Hungary",4.6,70 ratings,Available online from $125.55
91,Quarts de Chaume 1997,"Quarts de Chaume, France",4.6,44 ratings,Available online from $104.99
